id,scrape_type,started_at,completed_at,status,records_found,records_new,records_updated,error_message,details
1,tender_scoring,"2026-05-06 14:17:54","2026-05-06 14:25:03.279372",success,0,267,0,,"{""status"": ""success"", ""scored"": 267, ""total_scc"": 267}"
2,briefing,"2026-05-07 01:36:48","2026-05-07 01:36:54.786805",success,0,1,0,,"{""briefing_id"": 11}"
3,tenders,"2026-05-07 16:14:48","2026-05-07 16:19:10.174491",success,1021,958,63,,"{""new"": 958, ""updated"": 63, ""total"": 1021}"
4,tenders,"2026-05-08 02:00:17","2026-05-08 02:04:39.501316",success,1021,0,1021,,"{""new"": 0, ""updated"": 1021, ""total"": 1021}"
5,tenders,"2026-05-09 02:00:17","2026-05-09 02:04:43.233313",success,1021,2,1019,,"{""new"": 2, ""updated"": 1019, ""total"": 1021}"
6,tenders,"2026-05-10 02:00:18","2026-05-10 02:04:44.615643",success,1021,17,1004,,"{""new"": 17, ""updated"": 1004, ""total"": 1021}"
7,tenders,"2026-05-11 02:00:19","2026-05-11 02:04:44.070441",success,1021,156,865,,"{""new"": 156, ""updated"": 865, ""total"": 1021}"
8,tenders,"2026-05-12 02:00:19","2026-05-12 02:04:45.030764",success,1021,126,895,,"{""new"": 126, ""updated"": 895, ""total"": 1021}"
9,tenders,"2026-05-13 02:00:19","2026-05-13 02:04:56.789817",success,1021,114,907,,"{""new"": 114, ""updated"": 907, ""total"": 1021}"
10,tenders,"2026-05-14 02:00:16","2026-05-14 02:04:33.018613",success,1021,120,901,,"{""new"": 120, ""updated"": 901, ""total"": 1021}"
11,tenders,"2026-05-15 02:00:19","2026-05-15 02:05:02.404974",success,1021,139,882,,"{""new"": 139, ""updated"": 882, ""total"": 1021}"
12,tenders,"2026-05-16 02:00:18","2026-05-16 02:08:38.404587",success,1021,3,1018,,"{""new"": 3, ""updated"": 1018, ""total"": 1021}"
13,tenders,"2026-05-17 02:00:17","2026-05-17 02:08:25.393523",success,1021,2,1019,,"{""new"": 2, ""updated"": 1019, ""total"": 1021}"
14,tenders,"2026-05-18 02:00:17","2026-05-18 02:02:32.738876",success,521,87,434,,"{""new"": 87, ""updated"": 434, ""total"": 521}"
15,tenders,"2026-05-19 02:00:17","2026-05-19 02:04:41.543171",success,1020,186,834,,"{""new"": 186, ""updated"": 834, ""total"": 1020}"
